question_id,sample_idx,token_step,target_think_tokens,is_correct
2,0,50,100,True
2,1,50,366,True
2,2,50,633,True
2,3,50,900,True
2,0,100,100,True
2,1,100,366,True
2,2,100,633,True
2,3,100,900,True
2,0,150,100,True
2,1,150,366,True
2,2,150,633,True
2,3,150,900,True
2,0,200,100,True
2,1,200,366,True
2,2,200,633,True
2,3,200,900,True
2,1,250,366,True
2,2,250,633,True
2,3,250,900,True
2,1,300,366,True
2,2,300,633,True
2,3,300,900,True
2,2,350,633,True
2,3,350,900,True
2,2,400,633,True
2,3,400,900,True
2,2,450,633,True
2,3,450,900,True
2,2,500,633,True
